Date,UID,Age
20190221,OBE_WJ_1156,段1
20190221,OBE_WJ_1157,段1
20190221,OBE_WJ_1158,段5
20190221,OBE_WJ_1159,段1
20190221,OBE_WJ_1160,段1
20190221,OBE_WJ_1161,段6
20190221,OBE_WJ_1162,段3
20190221,OBE_WJ_1163,段4
20190221,OBE_WJ_1164,段2
20190221,OBE_WJ_1165,段1
20190221,OBE_WJ_1166,段3
20190221,OBE_WJ_1167,段2
20190221,OBE_WJ_1168,段4
